"Survey","Reef","Site","Transect","Genus","Species","Number","Comment","Video","T_ID","Date","Lat","Long","Depth","Temperature","Habitat","Aspect","Benthic_Complexity","Species_name","Biomass Constant A","Biomass Constant B","Max Length (cm)","Trophic Group","Trophic Level","Family","Functional Group","Length_cm","weight_g","Total_Biomass_g"
"Feb_21","Bougainville","BVille_1","T2","Acanthurus","thompsoni",8,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Acanthurus thompsoni",0.01698,2.99,27,"planktivore",3.64,"Acanthuridae","Planktivore",12.2574,30.4964142844312,243.97131427545
"Feb_21","Bougainville","BVille_1","T2","Acanthurus","pyroferus",1,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Acanthurus pyroferus",0.02291,2.96,29,"herbivore-detritivore",2,"Acanthuridae","Grazer",17.2969,105.781855835909,105.781855835909
"Feb_21","Bougainville","BVille_1","T2","Acanthochromis","polyacanthus",10,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Acanthochromis polyacanthus",0.0429,3.045,14,"omnivore",2.69,"Pomacentridae","Planktivore",11.425,71.3886957832476,713.886957832476
"Feb_21","Bougainville","BVille_1","T2","Pseudanthias","pleurotaenia",8,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Pseudanthias pleurotaenia",0.00933,2.97,20,"planktivore",3.4,"Serranidae","Planktivore",12.2112,15.7599170194182,126.079336155345
"Feb_21","Bougainville","BVille_1","T2","Cephalopholis","leopardus",1,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Cephalopholis leopardus",0.01259,3.05,24,"piscivore",4.01,"Serranidae","Piscivore",14.4875,43.7578272557848,43.7578272557848
"Feb_21","Bougainville","BVille_1","T2","Forcipiger","flavissimus",1,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Forcipiger flavissimus",0.02188,3.02,22,"invertivore-mobile",3.38,"Chaetodontidae","Benthic invertivore",10.8213,29.0784476467612,29.0784476467612
"Feb_21","Bougainville","BVille_1","T2","Acanthurus","thompsoni",5,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Acanthurus thompsoni",0.01698,2.99,27,"planktivore",3.64,"Acanthuridae","Planktivore",14.8773,54.4232917975126,272.116458987563
"Feb_21","Bougainville","BVille_1","T2","Chromis","amboinensis",8,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Chromis amboinensis",0.01778,2.99,10,"omnivore",2.74,"Pomacentridae","Planktivore",4.2772,1.37119378305408,10.9695502644327
"Feb_21","Bougainville","BVille_1","T2","Pseudanthias","pleurotaenia",2,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Pseudanthias pleurotaenia",0.00933,2.97,20,"planktivore",3.4,"Serranidae","Planktivore",9.9888,8.67833072937057,17.3566614587411
"Feb_21","Bougainville","BVille_1","T2","Pseudanthias","pleurotaenia",2,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Pseudanthias pleurotaenia",0.00933,2.97,20,"planktivore",3.4,"Serranidae","Planktivore",13.6866,22.1146210177792,44.2292420355583
"Feb_21","Bougainville","BVille_1","T2","Carcharhinus","amblyrhynchos",1,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Carcharhinus amblyrhynchos",0.005055,3.21133,255,"piscivore",4.5,"Carcharhinidae","Piscivore",247.3678,245208.697925454,245208.697925454
"Feb_21","Bougainville","BVille_1","T2","Chromis","amboinensis",8,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Chromis amboinensis",0.01778,2.99,10,"omnivore",2.74,"Pomacentridae","Planktivore",3.5325,0.773922452854293,6.19137962283434
"Feb_21","Bougainville","BVille_1","T2","Epinephelus","fuscoguttatus",1,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Epinephelus fuscoguttatus",0.0143,3.034687,120,"piscivore",4.14,"Serranidae","Piscivore",38.8748,953.852803189109,953.852803189109
"Feb_21","Bougainville","BVille_1","T2","Acanthochromis","polyacanthus",4,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Acanthochromis polyacanthus",0.0429,3.045,14,"omnivore",2.69,"Pomacentridae","Planktivore",10.2856,51.8437631978795,207.375052791518
"Feb_21","Bougainville","BVille_1","T3","Forcipiger","flavissimus",2,NA,"Stereo","Feb_21_BVille_1_T3",2021-02-22,-15.48724,147.09035,66.3,27.5,"outer_reef","wall",5,"Forcipiger flavissimus",0.02188,3.02,22,"invertivore-mobile",3.38,"Chaetodontidae","Benthic invertivore",10.3446,25.3794787625144,50.7589575250287
"Feb_21","Bougainville","BVille_1","T3","Gomphosus","varius",1,NA,"Stereo","Feb_21_BVille_1_T3",2021-02-22,-15.48724,147.09035,66.3,27.5,"outer_reef","wall",5,"Gomphosus varius",0.01838,2.70269,30,"invertivore-mobile",3.68,"Labridae","Benthic invertivore",18.8393,51.3393408614086,51.3393408614086
"Feb_21","Bougainville","BVille_1","T3","Genicanthus","melanospilos",1,NA,"Stereo","Feb_21_BVille_1_T3",2021-02-22,-15.48724,147.09035,66.3,27.5,"outer_reef","wall",5,"Genicanthus melanospilos",0.0302,2.89,18,"planktivore",3.4,"Pomacanthidae","Omnivore",9.0736,17.7006850004447,17.7006850004447
"Feb_21","Bougainville","BVille_1","T3","Naso","vlamingii",1,NA,"Stereo","Feb_21_BVille_1_T3",2021-02-22,-15.48724,147.09035,66.3,27.5,"outer_reef","wall",5,"Naso vlamingii",0.03104,2.843,60,"planktivore",2.16,"Acanthuridae","Planktivore",39.5665,1079.25527119203,1079.25527119203
"Feb_21","Bougainville","BVille_1","T3","Sufflamen","fraenatum",1,NA,"Stereo","Feb_21_BVille_1_T3",2021-02-22,-15.48724,147.09035,66.3,27.5,"outer_reef","wall",5,"Sufflamen fraenatum",0.02972,2.957254,38,"invertivore-mobile",3.7,"Balistidae","Benthic invertivore",27.3869,529.941859615944,529.941859615944
"Feb_21","Bougainville","BVille_1","T3","Triaenodon","obesus",1,NA,"Stereo","Feb_21_BVille_1_T3",2021-02-22,-15.48724,147.09035,66.3,27.5,"outer_reef","wall",5,"Triaenodon obesus",0.001171,3.361543,213,"piscivore",4.36,"Carcharhinidae","Piscivore",93.0661,4861.09636372908,4861.09636372908
"Feb_21","Bougainville","BVille_1","T3","Acanthochromis","polyacanthus",12,NA,"Stereo","Feb_21_BVille_1_T3",2021-02-22,-15.48724,147.09035,66.3,27.5,"outer_reef","wall",5,"Acanthochromis polyacanthus",0.0429,3.045,14,"omnivore",2.69,"Pomacentridae","Planktivore",9.1994,36.906679925964,442.880159111568
"Feb_21","Bougainville","BVille_1","T3","Caranx","melampygus",1,NA,"Stereo","Feb_21_BVille_1_T3",2021-02-22,-15.48724,147.09035,66.3,27.5,"outer_reef","wall",5,"Caranx melampygus",0.017067,2.943245,117,"piscivore",4.28,"Carangidae","Piscivore",43.6505,1145.63762529785,1145.63762529785
"Feb_21","Bougainville","BVille_1","T4","Plectropomus","laevis",1,NA,"Stereo","Feb_21_BVille_1_T4",2021-02-22,-15.48724,147.09035,67.8,27.5,"outer_reef","wall",5,"Plectropomus laevis",0.00523,3.23774,125,"piscivore",4.14,"Serranidae","Piscivore",70.5666,5055.74591977264,5055.74591977264
"Feb_21","Bougainville","BVille_1","T4","Chromis","amboinensis",8,NA,"Stereo","Feb_21_BVille_1_T4",2021-02-22,-15.48724,147.09035,67.8,27.5,"outer_reef","wall",5,"Chromis amboinensis",0.01778,2.99,10,"omnivore",2.74,"Pomacentridae","Planktivore",7.1662,6.4157235370364,51.3257882962912
"Feb_21","Bougainville","BVille_1","T4","Acanthurus","thompsoni",16,NA,"Stereo","Feb_21_BVille_1_T4",2021-02-22,-15.48724,147.09035,67.8,27.5,"outer_reef","wall",5,"Acanthurus thompsoni",0.01698,2.99,27,"planktivore",3.64,"Acanthuridae","Planktivore",14.9801,55.5554508435095,888.887213496153
"Feb_21","Bougainville","BVille_1","T4","Bodianus","anthioides",1,NA,"Stereo","Feb_21_BVille_1_T4",2021-02-22,-15.48724,147.09035,67.8,27.5,"outer_reef","wall",5,"Bodianus anthioides",0.01202,3.06,24,"invertivore-mobile",3.44,"Labridae","Benthic invertivore",18.5618,91.5971455147897,91.5971455147897
"Feb_21","Bougainville","BVille_1","T4","Acanthochromis","polyacanthus",18,NA,"Stereo","Feb_21_BVille_1_T4",2021-02-22,-15.48724,147.09035,67.8,27.5,"outer_reef","wall",5,"Acanthochromis polyacanthus",0.0429,3.045,14,"omnivore",2.69,"Pomacentridae","Planktivore",7.5794,20.4618709645531,368.313677361955
"Feb_21","Bougainville","BVille_1","T5","Cephalopholis","leopardus",1,NA,"Stereo","Feb_21_BVille_1_T5",2021-02-22,-15.48724,147.09035,67.3,27.8,"outer_reef","steep_slope",5,"Cephalopholis leopardus",0.01259,3.05,24,"piscivore",4.01,"Serranidae","Piscivore",13.5339,35.5521416756626,35.5521416756626
"Feb_21","Bougainville","BVille_1","T5","Pseudanthias","pleurotaenia",6,NA,"Stereo","Feb_21_BVille_1_T5",2021-02-22,-15.48724,147.09035,67.3,27.8,"outer_reef","steep_slope",5,"Pseudanthias pleurotaenia",0.00933,2.97,20,"planktivore",3.4,"Serranidae","Planktivore",11.4024,12.857619576585,77.1457174595101
"Feb_21","Bougainville","BVille_1","T5","Pseudanthias","pleurotaenia",6,NA,"Stereo","Feb_21_BVille_1_T5",2021-02-22,-15.48724,147.09035,67.3,27.8,"outer_reef","steep_slope",5,"Pseudanthias pleurotaenia",0.00933,2.97,20,"planktivore",3.4,"Serranidae","Planktivore",12.9119,18.6004050091255,111.602430054753
"Feb_21","Bougainville","BVille_1","T5","Acanthurus","thompsoni",1,NA,"Stereo","Feb_21_BVille_1_T5",2021-02-22,-15.48724,147.09035,67.3,27.8,"outer_reef","steep_slope",5,"Acanthurus thompsoni",0.01698,2.99,27,"planktivore",3.64,"Acanthuridae","Planktivore",20.8515,149.333835629167,149.333835629167
"Feb_21","Bougainville","BVille_1","T5","Chromis","amboinensis",8,NA,"Stereo","Feb_21_BVille_1_T5",2021-02-22,-15.48724,147.09035,67.3,27.8,"outer_reef","steep_slope",5,"Chromis amboinensis",0.01778,2.99,10,"omnivore",2.74,"Pomacentridae","Planktivore",6.6634,5.16157748461751,41.2926198769401
"Feb_21","Bougainville","BVille_1","T5","Hoplolatilus","starcki",2,NA,"Stereo","Feb_21_BVille_1_T5",2021-02-22,-15.48724,147.09035,67.3,27.8,"outer_reef","steep_slope",5,"Hoplolatilus starcki",0.00537,3.03,15.5,"invertivore-mobile",3.4,"Malacanthidae","Benthic invertivore",10.2904,6.27543771233716,12.5508754246743
"Feb_21","Bougainville","BVille_1","T5","Carcharhinus","albimarginatus",1,NA,"Stereo","Feb_21_BVille_1_T5",2021-02-22,-15.48724,147.09035,67.3,27.8,"outer_reef","steep_slope",5,"Carcharhinus albimarginatus",0.00437,3.1,300,"piscivore",4.48,"Carcharhinidae","Piscivore",136.9106,18341.5639983333,18341.5639983333
"Feb_21","Bougainville","BVille_1","T6","Pseudanthias","pleurotaenia",5,NA,"Stereo","Feb_21_BVille_1_T6",2021-02-22,-15.48724,147.09035,58.1,27.9,"outer_reef","steep_slope",4,"Pseudanthias pleurotaenia",0.00933,2.97,20,"planktivore",3.4,"Serranidae","Planktivore",12.9109,18.5961268634856,92.9806343174282
"Feb_21","Bougainville","BVille_1","T6","Labroides","dimidiatus",1,NA,"Stereo","Feb_21_BVille_1_T6",2021-02-22,-15.48724,147.09035,58.1,27.9,"outer_reef","steep_slope",4,"Labroides dimidiatus",0.006669,3.172365,14,"invertivore-mobile",3.85,"Labridae","Benthic invertivore",7.7376,4.39586313796919,4.39586313796919
"Feb_21","Bougainville","BVille_1","T6","Oxycheilinus","orientalis",1,NA,"Stereo","Feb_21_BVille_1_T6",2021-02-22,-15.48724,147.09035,58.1,27.9,"outer_reef","steep_slope",4,"Oxycheilinus orientalis",0.0166,2.95,20,"piscivore",3.8,"Labridae","Carnivore",12.4816,28.4515123674059,28.4515123674059
"Feb_21","Bougainville","BVille_1","T6","Bodianus","anthioides",1,NA,"Stereo","Feb_21_BVille_1_T6",2021-02-22,-15.48724,147.09035,58.1,27.9,"outer_reef","steep_slope",4,"Bodianus anthioides",0.01202,3.06,24,"invertivore-mobile",3.44,"Labridae","Benthic invertivore",14.4793,42.8343342227635,42.8343342227635
"Feb_21","Bougainville","BVille_1","T6","Acanthochromis","polyacanthus",12,NA,"Stereo","Feb_21_BVille_1_T6",2021-02-22,-15.48724,147.09035,58.1,27.9,"outer_reef","steep_slope",4,"Acanthochromis polyacanthus",0.0429,3.045,14,"omnivore",2.69,"Pomacentridae","Planktivore",6.8257,14.8742646838406,178.491176206088
"Feb_21","Bougainville","BVille_1","T6","Chromis","amboinensis",10,NA,"Stereo","Feb_21_BVille_1_T6",2021-02-22,-15.48724,147.09035,58.1,27.9,"outer_reef","steep_slope",4,"Chromis amboinensis",0.01778,2.99,10,"omnivore",2.74,"Pomacentridae","Planktivore",6.3173,4.40069171774306,44.0069171774306
"Feb_21","Bougainville","BVille_1","T6","Pseudanthias","pleurotaenia",6,NA,"Stereo","Feb_21_BVille_1_T6",2021-02-22,-15.48724,147.09035,58.1,27.9,"outer_reef","steep_slope",4,"Pseudanthias pleurotaenia",0.00933,2.97,20,"planktivore",3.4,"Serranidae","Planktivore",12.2594,15.9453924867502,95.6723549205015
"Feb_21","Bougainville","BVille_1","T6","Myripristis","vittata",3,NA,"Stereo","Feb_21_BVille_1_T6",2021-02-22,-15.48724,147.09035,58.1,27.9,"outer_reef","steep_slope",4,"Myripristis vittata",0.0182,3.05,25,"planktivore",3.8,"Holocentridae","Planktivore",8.8391,14.0157367612149,42.0472102836447
"Feb_21","Bougainville","BVille_1","T6","Monotaxis","grandoculis",1,NA,"Stereo","Feb_21_BVille_1_T6",2021-02-22,-15.48724,147.09035,58.1,27.9,"outer_reef","steep_slope",4,"Monotaxis grandoculis",0.041756,2.851508,60,"invertivore-mobile",3.4,"Lethrinidae","Benthic invertivore",25.2392,415.669956840263,415.669956840263
"Feb_21","Bougainville","BVille_1","T7","Forcipiger","flavissimus",2,NA,"Stereo","Feb_21_BVille_1_T7",2021-02-22,-15.48724,147.09035,57.8,28,"outer_reef","steep_slope",5,"Forcipiger flavissimus",0.02188,3.02,22,"invertivore-mobile",3.38,"Chaetodontidae","Benthic invertivore",10.3746,25.6024088372716,51.2048176745431
"Feb_21","Bougainville","BVille_1","T7","Oxycheilinus","unifasciatus",1,NA,"Stereo","Feb_21_BVille_1_T7",2021-02-22,-15.48724,147.09035,57.8,28,"outer_reef","steep_slope",5,"Oxycheilinus unifasciatus",0.0166,2.95,46,"piscivore",4.06,"Labridae","Carnivore",30.0061,378.334779853824,378.334779853824
"Feb_21","Bougainville","BVille_1","T7","Acanthurus","thompsoni",3,NA,"Stereo","Feb_21_BVille_1_T7",2021-02-22,-15.48724,147.09035,57.8,28,"outer_reef","steep_slope",5,"Acanthurus thompsoni",0.01698,2.99,27,"planktivore",3.64,"Acanthuridae","Planktivore",20.3712,139.282757917719,417.848273753156
"Feb_21","Bougainville","BVille_1","T7","Acanthurus","thompsoni",4,NA,"Stereo","Feb_21_BVille_1_T7",2021-02-22,-15.48724,147.09035,57.8,28,"outer_reef","steep_slope",5,"Acanthurus thompsoni",0.01698,2.99,27,"planktivore",3.64,"Acanthuridae","Planktivore",14.2578,47.9241827835559,191.696731134224
"Feb_21","Bougainville","BVille_1","T7","Chromis","iomelas",12,NA,"Stereo","Feb_21_BVille_1_T7",2021-02-22,-15.48724,147.09035,57.8,28,"outer_reef","steep_slope",5,"Chromis iomelas",0.01221,3.094234,8,"planktivore",2.69,"Pomacentridae","Planktivore",6.2646,3.56853655555666,42.8224386666799
"Feb_21","Bougainville","BVille_1","T7","Pseudanthias","pleurotaenia",8,NA,"Stereo","Feb_21_BVille_1_T7",2021-02-22,-15.48724,147.09035,57.8,28,"outer_reef","steep_slope",5,"Pseudanthias pleurotaenia",0.00933,2.97,20,"planktivore",3.4,"Serranidae","Planktivore",11.4976,13.1790775782595,105.432620626076
"Feb_21","Bougainville","BVille_1","T8","Chromis","iomelas",6,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis iomelas",0.01221,3.094234,8,"planktivore",2.69,"Pomacentridae","Planktivore",5.164,1.96273609581568,11.7764165748941
"Feb_21","Bougainville","BVille_1","T8","Oxycheilinus","unifasciatus",1,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Oxycheilinus unifasciatus",0.0166,2.95,46,"piscivore",4.06,"Labridae","Carnivore",17.1102,72.1457232937077,72.1457232937077
"Feb_21","Bougainville","BVille_1","T8","Bodianus","anthioides",1,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Bodianus anthioides",0.01202,3.06,24,"invertivore-mobile",3.44,"Labridae","Benthic invertivore",18.03,83.8014226440728,83.8014226440728
"Feb_21","Bougainville","BVille_1","T8","Genicanthus","melanospilos",8,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Genicanthus melanospilos",0.0302,2.89,18,"planktivore",3.4,"Pomacanthidae","Omnivore",15.7056,86.4180657541658,691.344526033327
"Feb_21","Bougainville","BVille_1","T8","Paracentropyge","multifasciata",1,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Paracentropyge multifasciata",0.0302,2.89,12,"invertivore-mobile",2.79,"Pomacanthidae","Omnivore",7.3134,9.49099619376438,9.49099619376438
"Feb_21","Bougainville","BVille_1","T8","Chromis","amboinensis",16,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis amboinensis",0.01778,2.99,10,"omnivore",2.74,"Pomacentridae","Planktivore",4.3598,1.45190029037445,23.2304046459912
"Feb_21","Bougainville","BVille_1","T8","Chromis","iomelas",20,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis iomelas",0.01221,3.094234,8,"planktivore",2.69,"Pomacentridae","Planktivore",6.5446,4.08553482520361,81.7106965040722
"Feb_21","Bougainville","BVille_1","T8","Chromis","alpha",12,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis alpha",0.01778,2.99,8.5,"planktivore",3,"Pomacentridae","Planktivore",6.5817,4.97465107409328,59.6958128891194
"Feb_21","Bougainville","BVille_1","T8","Chromis","alpha",12,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis alpha",0.01778,2.99,8.5,"planktivore",3,"Pomacentridae","Planktivore",6.747,5.35763076776362,64.2915692131634
"Feb_21","Bougainville","BVille_1","T8","Chromis","iomelas",12,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis iomelas",0.01221,3.094234,8,"planktivore",2.69,"Pomacentridae","Planktivore",4.8326,1.59856872053321,19.1828246463986
"Feb_21","Bougainville","BVille_1","T8","Chromis","amboinensis",10,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis amboinensis",0.01778,2.99,10,"omnivore",2.74,"Pomacentridae","Planktivore",6.3324,4.43221780357725,44.3221780357725
"Feb_21","Bougainville","BVille_1","T8","Chromis","alpha",16,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis alpha",0.01778,2.99,8.5,"planktivore",3,"Pomacentridae","Planktivore",8.5,10.6879483040131,171.00717286421
"Feb_21","Bougainville","BVille_1","T8","Labroides","dimidiatus",1,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Labroides dimidiatus",0.006669,3.172365,14,"invertivore-mobile",3.85,"Labridae","Benthic invertivore",9.0745,7.28826143849287,7.28826143849287
"Feb_21","Bougainville","BVille_1","T8","Cephalopholis","leopardus",1,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Cephalopholis leopardus",0.01259,3.05,24,"piscivore",4.01,"Serranidae","Piscivore",17.4769,77.5429205343997,77.5429205343997
"Feb_21","Bougainville","BVille_1","T8","Chromis","amboinensis",18,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis amboinensis",0.01778,2.99,10,"omnivore",2.74,"Pomacentridae","Planktivore",6.4114,4.59960827384462,82.7929489292031
"Feb_21","Bougainville","BVille_1","T8","Acanthurus","thompsoni",4,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Acanthurus thompsoni",0.01698,2.99,27,"planktivore",3.64,"Acanthuridae","Planktivore",15.1418,57.3678306444655,229.471322577862
"Feb_21","Bougainville","BVille_1","T8","Hoplolatilus","starcki",1,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Hoplolatilus starcki",0.00537,3.03,15.5,"invertivore-mobile",3.4,"Malacanthidae","Benthic invertivore",11.7294,9.32996362593901,9.32996362593901
"Feb_21","Bougainville","BVille_1","T8","Chromis","iomelas",5,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis iomelas",0.01221,3.094234,8,"planktivore",2.69,"Pomacentridae","Planktivore",7.6744,6.68729120302479,33.436456015124
"Feb_21","Bougainville","BVille_1","T8","Chromis","amboinensis",14,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis amboinensis",0.01778,2.99,10,"omnivore",2.74,"Pomacentridae","Planktivore",5.4239,2.7894826307614,39.0527568306596
"Feb_21","Bougainville","BVille_1","T8","Chromis","xanthochira",2,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis xanthochira",0.01778,2.99,14,"planktivore",2.72,"Pomacentridae","Planktivore",11.2369,24.6243536300522,49.2487072601044
"Feb_21","Bougainville","BVille_1","T8","Chromis","alpha",6,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis alpha",0.01778,2.99,8.5,"planktivore",3,"Pomacentridae","Planktivore",7.9799,8.84920241595595,53.0952144957357
